datetime,lat,lon,p,t,s,fchl,fdom,par,ed380,ed412,ed490,chla_adj,bbp,sigma,poc,cphyto
2014-07-10 15:44:45,56.004752,-49.808305,0.3,nan,nan,nan,nan,272.316458989,12.3390546137,20.696553454,23.7182203054,1.19594825518,nan,nan,nan,nan
2014-07-10 15:44:45,56.004752,-49.808305,0.9,9.314,34.454,1.59119997267,0.613900013268,242.564136588,11.2499979394,19.2754402449,22.9816217897,1.19594825518,0.00217728568382,26.6427636825,62.7238134921,36.6183810448
2014-07-10 15:44:45,56.004752,-49.808305,1.2,9.314,34.458,1.62719997205,1.57860003412,242.564136588,11.2499979394,19.2754402449,22.9816217897,1.19594825518,0.0020085542934,26.645897014,56.747010181,33.8263180312
2014-07-10 15:44:45,56.004752,-49.808305,1.6,9.313,34.459,1.70639997069,1.57860003412,208.125778244,9.71268901892,17.0717740388,21.3911629029,1.19594825518,0.00230706218221,26.6468480604,67.3207566181,38.7658425238
2014-07-10 15:44:45,56.004752,-49.808305,1.9,9.313,34.462,1.83599996846,1.14010002464,208.125778244,9.71268901892,17.0717740388,21.3911629029,1.19594825518,0.00230705633029,26.6491992365,67.3205493316,38.7657456899
2014-07-10 15:44:45,56.004752,-49.808305,2.3,9.313,34.462,1.8863999676,0.877000018954,208.125778244,9.71268901892,17.0717740388,21.3911629029,1.19594825518,0.00221620516781,26.6492054573,64.1024194542,37.2623966694
2014-07-10 15:44:45,56.004752,-49.808305,2.7,9.312,34.465,1.94399996661,1.31550002843,164.350047389,7.59949576901,13.5609788511,17.6593127919,1.19594825518,0.00220321945549,26.6517208515,63.6424395525,37.0475171086
2014-07-10 15:44:45,56.004752,-49.808305,3.0,9.312,34.465,1.95839996636,0.877000018954,164.350047389,7.59949576901,13.5609788511,17.6593127919,1.19594825518,0.00232002809297,26.6517255172,67.7800351092,38.9803944207
2014-07-10 15:44:45,56.004752,-49.808305,3.4,9.312,34.466,2.07359996438,0.877000018954,146.203623223,6.62668217077,12.1324490363,16.6552034228,1.19594825518,0.00272236700486,26.6525139129,82.0316840462,45.6380506642
2014-07-10 15:44:45,56.004752,-49.808305,3.8,9.312,34.465,2.20319996215,1.8417000398,146.203623223,6.62668217077,12.1324490363,16.6552034228,1.19594825518,0.00242385799295,26.65173796,71.4578978262,40.6985075871
2014-07-10 15:44:45,56.004752,-49.808305,4.3,9.312,34.465,2.22479996178,2.36790005118,146.203623223,6.62668217077,12.1324490363,16.6552034228,1.19594825518,0.00242385799295,26.6517457374,71.4578978262,40.6985075871
2014-07-10 15:44:45,56.004752,-49.808305,4.7,9.312,34.467,2.26799996104,1.57860003412,122.834054805,5.31653028347,10.0874149412,14.8460611029,1.19594825518,0.00242385409192,26.6533163099,71.457759644,40.6984430352
2014-07-10 15:44:45,56.004752,-49.808305,5.2,9.311,34.465,2.36159995943,1.22780002654,122.834054805,5.31653028347,10.0874149412,14.8460611029,1.19594825518,0.00259258045721,26.6519223802,77.4343849551,43.4904228962
2014-07-10 15:44:45,56.004752,-49.808305,5.6,9.31,34.465,2.44799995795,1.66630003601,108.501155141,4.55447434876,8.78685345173,13.4121807553,1.19594825518,0.00217725973401,26.6520912332,62.7228942979,36.6179516434
2014-07-10 15:44:45,56.004752,-49.808305,6.0,9.307,34.465,2.56319995597,-2.28020004928,108.501155141,4.55447434876,8.78685345173,13.4121807553,1.19594825518,0.00244980985114,26.6525852821,72.3771645471,41.1279429353
2014-07-10 15:44:45,56.004752,-49.808305,6.4,9.306,34.465,2.64239995461,1.49090003222,108.501155141,4.55447434876,8.78685345173,13.4121807553,1.19594825518,0.00239789377756,26.6527540882,70.5381933888,40.2688677597
2014-07-10 15:44:45,56.004752,-49.808305,6.9,9.305,34.465,2.6135999551,1.75400003791,96.6932460751,3.80094335355,7.5954589224,12.4459815661,1.19594825518,0.0023978926539,26.6529244367,70.5381535864,40.2688491659
2014-07-10 15:44:45,56.004752,-49.808305,7.3,9.305,34.464,2.68559995387,1.14010002464,96.6932460751,3.80094335355,7.5954589224,12.4459815661,1.19594825518,0.0022032135421,26.6521484627,63.6422300882,37.0474192573
2014-07-10 15:44:45,56.004752,-49.808305,7.7,9.306,34.462,2.67119995411,1.40320003033,85.1701590082,3.1847235787,6.51222735248,11.1899588092,1.19594825518,0.00230704846709,26.6504277305,67.3202708012,38.7656155745
2014-07-10 15:44:45,56.004752,-49.808305,8.1,9.303,34.462,2.74319995288,-0.0877000018954,85.1701590082,3.1847235787,6.51222735248,11.1899588092,1.19594825518,0.00235896004599,26.6509216163,69.1590827492,39.6246163751
2014-07-10 15:44:45,56.004752,-49.808305,8.5,9.304,34.461,2.75759995263,1.40320003033,85.1701590082,3.1847235787,6.51222735248,11.1899588092,1.19594825518,0.00229406943303,26.6499830944,66.8605274568,38.5508465214
2014-07-10 15:44:45,56.004752,-49.808305,8.9,9.3,34.46,2.82959995139,1.14010002464,75.2542866773,2.66527638243,5.57126710743,10.0510227108,1.21146549629,0.00232002436338,26.6498572109,67.7799029997,38.9803327058
2014-07-10 15:44:45,56.004752,-49.808305,9.3,9.286,34.461,2.92319994979,1.49090003222,75.2542866773,2.66527638243,5.57126710743,10.0510227108,1.25181032318,0.00243681530627,26.6529196536,71.9168717788,40.9129172189
2014-07-10 15:44:45,56.004752,-49.808305,9.6,9.261,34.462,3.10319994669,1.75400003791,67.9284200167,2.27290577242,4.85892003498,9.20276864552,1.32939652875,0.00234593404147,26.6577622431,68.6976756171,39.4090700837
2014-07-10 15:44:45,56.004752,-49.808305,9.9,9.228,34.462,3.08879994694,1.49090003222,67.9284200167,2.27290577242,4.85892003498,9.20276864552,1.3231896323,0.00231993933395,26.6631103738,67.7768910872,38.9789256912
2014-07-10 15:44:45,56.004752,-49.808305,10.6,9.205,34.461,3.49919993989,1.75400003791,64.5397737986,2.08752921468,4.52053777843,8.81023443321,1.50008618099,0.0024756601372,26.6660564055,73.2928333798,41.5556975304
2014-07-10 15:44:45,56.004752,-49.808305,11.1,9.205,34.461,3.434399941,1.75400003791,59.8844356201,1.86513649539,4.09068497303,8.22365469559,1.47215514698,0.00264438372466,26.6660642407,79.269360295,44.3476314258
2014-07-10 15:44:45,56.004752,-49.808305,11.6,9.058,34.494,3.5567999389,1.8417000398,56.4840942499,1.66574061748,3.73325076595,7.84097175917,1.52491376677,0.00269606707005,26.7155308788,81.1000877554,45.2028555588
2014-07-10 15:44:45,56.004752,-49.808305,12.1,9.058,34.494,3.32639994286,1.9294000417,53.4696164894,1.55297242766,3.48847594788,7.41957793754,1.42560342365,0.00255330095758,26.7155385507,76.0430265195,42.8404499551
2014-07-10 15:44:45,56.004752,-49.808305,12.7,9.021,34.518,3.39119994175,1.57860003412,50.3016619758,1.40574726168,3.20405250593,7.01755050833,1.45353445765,0.00254023298167,26.7402501641,75.5801326767,42.624209147
2014-07-10 15:44:45,56.004752,-49.808305,13.2,8.929,34.532,3.5567999389,2.10480004549,47.073956817,1.26482785686,2.92108334379,6.59569871064,1.52491376677,0.00307222807595,26.7658684815,94.4244629063,51.4273359545
2014-07-10 15:44:45,56.004752,-49.808305,13.5,8.929,34.532,3.5567999389,2.10480004549,47.073956817,1.26482785686,2.92108334379,6.59569871064,1.52491376677,0.00307222807595,26.7658730007,94.4244629063,51.4273359545
2014-07-10 15:44:45,56.004752,-49.808305,14.0,8.929,34.532,3.2831999436,1.40320003033,44.9071765048,1.15769384401,2.71253303701,6.32452350124,1.40698273431,0.00268286595103,26.7658805332,80.6324777174,44.9844115806
2014-07-10 15:44:45,56.004752,-49.808305,14.6,8.902,34.549,3.29039994348,2.01710004359,42.4754656043,1.0749713197,2.52927054847,5.97930782466,1.41008618253,0.00254003543265,26.7834853992,75.5731350955,42.6209402277
2014-07-10 15:44:45,56.004752,-49.808305,15.2,8.421,34.532,3.03839994781,1.8417000398,38.8208994556,0.925141833083,2.22461939651,5.49629966102,1.30146549474,0.00261737634295,26.8451837657,78.3127048201,43.9007299252
2014-07-10 15:44:45,56.004752,-49.808305,15.8,8.421,34.532,3.03119994793,1.75400003791,34.5046925388,0.76365024469,1.87950563331,4.89662750191,1.29836204652,0.00250056770548,26.8451921118,74.1751092634,41.967852613
2014-07-10 15:44:45,56.004752,-49.808305,16.4,8.067,34.536,2.80079995189,1.9294000417,31.441568093,0.66687784172,1.65844569905,4.44857361529,1.1990517034,0.00239630279498,26.9019655562,70.4818376038,40.2425411608
2014-07-10 15:44:45,56.004752,-49.808305,16.7,8.067,34.536,2.80079995189,1.9294000417,31.441568093,0.66687784172,1.65844569905,4.44857361529,1.1990517034,0.00239630279498,26.9019694935,70.4818376038,40.2425411608
2014-07-10 15:44:45,56.004752,-49.808305,17.4,7.887,34.545,2.66399995424,2.19250004739,28.2632093983,0.548510424008,1.3993983057,4.0047770172,1.14008618717,0.00270755377969,26.9358004346,81.5069699841,45.3929305475
2014-07-10 15:44:45,56.004752,-49.808305,18.2,7.803,34.565,2.5847999556,1.9294000417,26.2673681331,0.482440693998,1.24941442998,3.71863012412,1.10594825672,0.00339528341368,26.9638908382,105.867729079,56.7730564966
2014-07-10 15:44:45,56.004752,-49.808305,18.8,7.803,34.565,2.48399995733,2.10480004549,24.3111689296,0.41098371364,1.08987954813,3.4438609113,1.06249998161,0.00270741032632,26.9638983747,81.5018885787,45.3905567695
2014-07-10 15:44:45,56.004752,-49.808305,19.4,7.766,34.568,2.50559995696,2.10480004549,24.3111689296,0.41098371364,1.08987954813,3.4438609113,1.07181032628,0.00236991123054,26.9716878573,69.5469956082,39.8058298247
2014-07-10 15:44:45,56.004752,-49.808305,19.8,7.766,34.568,2.50559995696,2.10480004549,22.9851325175,0.36492259145,0.983931751694,3.25618489406,1.07181032628,0.00236991123054,26.9716928507,69.5469956082,39.8058298247
2014-07-10 15:44:45,56.004752,-49.808305,20.5,7.773,34.579,2.41919995844,2.28020004928,21.5452573922,0.315884475595,0.870223002173,3.05472825939,1.03456894761,0.00264245173579,26.9793227077,79.2009253853,44.3156620652
2014-07-10 15:44:45,56.004752,-49.808305,21.4,7.754,34.594,2.36879995931,2.19250004739,19.6276666691,0.260333714113,0.738198292733,2.7739525249,1.01284481005,0.00243473869372,26.9939082173,71.8433140088,40.8785547147
2014-07-10 15:44:45,56.004752,-49.808305,21.6,7.754,34.594,2.36879995931,2.19250004739,19.6276666691,0.260333714113,0.738198292733,2.7739525249,1.01284481005,0.00243473869372,26.9939118827,71.8433140088,40.8785547147
2014-07-10 15:44:45,56.004752,-49.808305,22.4,7.701,34.591,2.37599995919,2.10480004549,18.0048959329,0.22448000439,0.642474431827,2.52574838741,1.01594825827,0.00283701931299,26.9993097402,86.0928981047,47.5352463679
2014-07-10 15:44:45,56.004752,-49.808305,23.1,7.707,34.599,2.36159995943,2.28020004928,16.507916452,0.189735883835,0.553310042178,2.30003681488,1.00974136182,0.00368062896932,27.0047351183,115.975239351,61.4947788157
2014-07-10 15:44:45,56.004752,-49.808305,23.6,7.707,34.599,2.25359996129,2.01710004359,16.507916452,0.189735883835,0.553310042178,2.30003681488,0.963189638486,0.00260339375704,27.0047442345,77.8174136618,43.6693547147
2014-07-10 15:44:45,56.004752,-49.808305,24.2,7.689,34.593,2.25359996129,2.01710004359,15.0273737272,0.154731664901,0.461778644811,2.07408516763,0.963189638486,0.00260338308136,27.0026627841,77.8170355078,43.6691780601
2014-07-10 15:44:45,56.004752,-49.808305,24.9,7.689,34.593,2.23919996154,2.10480004549,13.650671728,0.129307004482,0.389981807807,1.8571337218,0.956982742041,0.00279806414382,27.0026755188,84.7130281023,46.890640247
2014-07-10 15:44:45,56.004752,-49.808305,25.5,7.662,34.6,2.12399996351,2.01710004359,13.650671728,0.129307004482,0.389981807807,1.8571337218,0.90732757048,0.00284993146339,27.012116737,86.5502722961,47.7489086714
2014-07-10 15:44:45,56.004752,-49.808305,26.1,7.617,34.608,2.12399996351,2.01710004359,12.242564143,0.105375670542,0.32153551199,1.63110953201,0.90732757048,0.00284985917669,27.0249466654,86.5477117567,47.7477125157
2014-07-10 15:44:45,56.004752,-49.808305,26.8,7.617,34.608,2.08799996413,2.10480004549,10.9649532218,0.084371453196,0.260660432489,1.4244695281,0.891810329368,0.00255134821425,27.0249593007,75.9738564452,42.8081371624
2014-07-10 15:44:45,56.004752,-49.808305,27.5,7.573,34.619,2.12399996351,1.9294000417,10.9649532218,0.084371453196,0.260660432489,1.4244695281,0.90732757048,0.00364148504348,27.0399849321,114.58868321,60.8470492659
2014-07-10 15:44:45,56.004752,-49.808305,28.0,7.573,34.619,2.12399996351,1.9294000417,10.0539056919,0.0722435979389,0.222109294776,1.27873075942,0.90732757048,0.00364148504348,27.0399939146,114.58868321,60.8470492659
