datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,o2_c,bbp,chla_adj,sigma,poc,cphyto
2018-08-22 07:56:12,56.3599,-36.959,-0.4,8.34,34.653,-0.00366103974232,2.95075,1.982868,52.5526294551,10.1,nan,11.377144245,0.00255479326294,1.26368534483,26.9524357536,76.0958869597,42.8651437039
2018-08-22 07:56:12,56.3599,-36.959,2.0,8.345,34.652,-0.00366103974254,3.05065,1.9935,31.1702695703,7.8,nan,11.3763979211,0.00241590674478,1.30674568966,26.9509255423,71.1762487135,40.5669352348
2018-08-22 07:56:12,56.3599,-36.959,4.1,8.346,34.652,-0.00366103974255,3.04695,2.004132,22.7476892559,4.8,2.44,11.3774369375,0.00234111752553,1.30515086207,26.9508063653,68.5270649893,39.3293693476
2018-08-22 07:56:12,56.3599,-36.959,6.1,8.347,34.652,-0.00366103974243,3.0488,1.982868,17.5301653927,6.1,nan,11.3766320555,0.00241377310647,1.30594827586,26.9506855895,71.1006709773,40.5316291037
2018-08-22 07:56:12,56.3599,-36.959,8.1,8.347,34.652,-0.00366103974244,3.0969,2.004132,14.0132403129,4.7,2.28,11.3711460904,0.00236248795854,1.32668103448,26.9507177076,69.2840484674,39.6829940967
2018-08-22 07:56:12,56.3599,-36.959,10.0,8.346,34.652,-0.00366103974271,3.1931,1.988184,11.290665478,4.6,1.98,11.3701224041,0.0027663568771,1.36814655172,26.9509011001,83.5898933007,46.3659679472
2018-08-22 07:56:12,56.3599,-36.959,12.0,8.347,34.652,-0.00366103974264,3.20605,1.9935,9.05440147861,3.8,1.9,11.3697275839,0.00264669315331,1.37372844828,26.9507486963,79.3511648766,44.3858464271
2018-08-22 07:56:12,56.3599,-36.959,14.0,8.348,34.652,-0.00366103974259,3.24675,1.988184,7.28360034361,3.0,1.38,11.3678122145,0.00285610912862,1.39127155172,26.9505962984,86.769097554,47.8511328667
2018-08-22 07:56:12,56.3599,-36.959,16.0,8.349,34.652,-0.00366103974245,3.219,1.988184,5.79913970929,3.0,1.26,11.3648010624,0.00244155580403,1.37931034483,26.9504439063,72.0847896903,40.9913600529
2018-08-22 07:56:12,56.3599,-36.959,18.0,8.351,34.651,-0.00366103974235,3.2671,1.982868,4.5780442606,2.5,1.05,11.3610604151,0.00228343248822,1.40004310345,26.9493541982,66.4837455977,38.3748329171
2018-08-22 07:56:12,56.3599,-36.959,20.0,8.35,34.651,-0.00366103974263,3.2782,2.004132,3.61265555918,2.8,0.96,11.3588693332,0.00246720264737,1.40482758621,26.9495076063,72.993252175,41.4157482033
2018-08-22 07:56:12,56.3599,-36.959,22.0,8.349,34.651,-0.00366103974292,3.28005,1.9935,2.83574953503,2.6,1.0,11.3551164874,0.00255267627288,1.405625,26.9497453429,76.0208989378,42.8301130577
2018-08-22 07:56:12,56.3599,-36.959,24.0,8.35,34.651,-0.00366103974309,3.3189,1.998816,2.20945946518,2.7,0.75,11.352912219,0.00238172740082,1.42237068966,26.9496773355,69.9655479918,40.001356525
2018-08-22 07:56:12,56.3599,-36.959,26.0,8.351,34.651,-0.00366103974312,3.3929,2.009448,1.74654941355,2.3,0.59,11.3509419611,0.00280483149216,1.45426724138,26.9496093336,84.9527411152,47.0026221548
2018-08-22 07:56:12,56.3599,-36.959,28.0,8.35,34.651,-0.00366103974347,3.2893,1.998816,1.3866028109,2.3,0.76,11.3446399601,0.00231334720358,1.40961206897,26.949847095,67.5433846452,38.8698431823
2018-08-22 07:56:12,56.3599,-36.959,30.0,8.352,34.651,-0.0036610397435,3.3189,1.9935,1.09600762224,2.3,0.62,11.3420153961,0.00242660514701,1.42237068966,26.9496262371,71.5552075175,40.7439657987
2018-08-22 07:56:12,56.3599,-36.959,32.0,8.353,34.651,-0.00366103974374,3.54275,1.998816,0.864978065223,2.3,0.53,11.3346705865,0.0031403250764,1.51885775862,26.9495340064,96.8365948563,52.5541631313
2018-08-22 07:56:12,56.3599,-36.959,34.0,8.353,34.651,-0.00366103974424,3.30595,2.009448,0.689684920672,2.3,0.58,11.3310440585,0.00289244686142,1.4167887931,26.9495946739,88.056252725,48.4524272642
2018-08-22 07:56:12,56.3599,-36.959,36.0,8.352,34.651,-0.00366103974487,3.3189,1.998816,0.543749123146,2.3,0.32,11.3221949118,0.00249712222541,1.42237068966,26.9498082262,74.0530634686,41.9108389333
2018-08-22 07:56:12,56.3599,-36.959,38.0,8.352,34.651,-0.00366103974547,3.2967,1.998816,0.428447079036,2.3,0.19,11.3152147411,0.00251208039356,1.41280172414,26.9498689042,74.5829117007,42.158357477
2018-08-22 07:56:12,56.3599,-36.959,40.0,8.352,34.651,-0.00366103974627,3.3263,1.9935,0.334843943596,2.3,0.29,11.3016476363,0.00233685613814,1.42556034483,26.9499295898,68.3761181251,39.2588545365
2018-08-22 07:56:12,56.3599,-36.959,42.0,8.353,34.652,-0.00366103974702,3.3818,2.004132,0.257408622459,2.3,0.15,11.2807695899,0.00257191203861,1.44948275862,26.9506196639,76.7022682318,43.1484146489
2018-08-22 07:56:12,56.3599,-36.959,44.0,8.36,34.655,-0.00366103974755,3.219,2.009448,0.195290178031,2.3,0.23,11.2264773941,0.0024522500916,1.37931034483,26.9519611262,72.4636027445,41.1683225297
2018-08-22 07:56:12,56.3599,-36.959,46.0,8.366,34.667,-0.00366103974976,2.3976,2.036028,0.146361266324,2.4,0.15,11.0602210826,0.00204622061696,1.02525862069,26.9605148396,58.081226694,34.4495971295
2018-08-22 07:56:12,56.3599,-36.959,48.0,8.168,34.708,-0.00366103978692,1.1914,2.121084,0.112323762528,2.4,0.21,10.8620570343,0.00154362209037,0.505344827586,27.0228449511,40.278181685,26.132906599
2018-08-22 07:56:12,56.3599,-36.959,50.0,7.869,34.708,-0.00366103983881,0.9805,2.131716,0.0884975098704,2.4,0.09,10.725470175,0.00148756761931,0.414439655172,27.0675747643,38.2926202113,25.2053517735
2018-08-22 07:56:12,56.3599,-36.959,52.0,7.415,34.712,-0.0036610399128,0.7104,2.147664,0.0689259451875,2.4,0.09,10.5749817862,0.00126882429621,0.298017241379,27.1367520507,30.5442942203,21.5857221336
2018-08-22 07:56:12,56.3599,-36.959,54.0,6.907,34.723,-0.00366103999273,0.5143,2.174244,0.0540345372766,2.4,0.11,10.4332178874,0.000778560048318,0.21349137931,27.2166345384,13.1781540315,13.4731316421
2018-08-22 07:56:12,56.3599,-36.959,56.0,6.663,34.739,-0.00366104003425,0.47915,2.174244,0.0416959421505,2.5,0.07,10.376431963,0.00107724334918,0.198340517241,27.2624736433,23.7581139148,18.4155587454
2018-08-22 07:56:12,56.3599,-36.959,58.0,6.507,34.737,-0.00366104006188,0.44215,2.163612,0.031910159809,2.4,0.1,10.3448457092,0.000735064751881,0.182392241379,27.2818109785,11.6374636411,12.7533982946
2018-08-22 07:56:12,56.3599,-36.959,60.0,6.261,34.732,-0.00366104010262,0.3626,2.184876,0.0229753150625,2.5,0.09,10.2865492837,0.000687615090474,0.148103448276,27.3102661831,9.95670173475,11.9682305537
2018-08-22 07:56:12,56.3599,-36.959,62.0,6.078,34.731,-0.0036610401318,0.333,2.17956,0.0157423455058,2.5,0.1,10.2389167427,0.00131124666305,0.135344827586,27.3331476106,32.0469792985,22.2877013036
2018-08-22 07:56:12,56.3599,-36.959,64.0,6.0,34.738,-0.00366104014367,0.26085,2.174244,0.00978578234144,2.4,0.07,10.2033649316,0.000593089455713,0.104245689655,27.3486759919,6.60841470028,10.4040786315
2018-08-22 07:56:12,56.3599,-36.959,66.0,5.954,34.751,-0.00366104015129,0.20905,2.168928,0.00425468797454,2.5,0.07,10.1796686847,0.000622884118412,0.0819181034483,27.3648301798,7.6638012424,10.8971023393
2018-08-22 07:56:12,56.3599,-36.959,68.0,5.925,34.756,-0.0036610401563,0.1776,2.168928,-0.000425468797454,2.5,0.04,10.1701191002,0.000631363429679,0.0683620689655,27.3724924799,7.96415540611,11.037412754
2018-08-22 07:56:12,56.3599,-36.959,70.0,5.896,34.758,-0.00366104016027,0.1628,2.168928,-0.00425468797454,2.5,0.09,10.1578621939,0.000622755692574,0.0619827586207,27.3777745101,7.65925214234,10.8949772277
2018-08-22 07:56:12,56.3599,-36.959,72.0,5.886,34.767,-0.00366104016265,0.148,2.158296,-0.00893484474653,2.5,0.05,10.1438394227,0.000661176322687,0.0556034482759,27.3861887165,9.0201877022,11.5307381258
2018-08-22 07:56:12,56.3599,-36.959,74.0,5.907,34.781,-0.00366104015931,0.12395,2.168928,-0.0119131263287,2.5,0.07,10.1440941765,0.000577839886998,0.0452370689655,27.3946457837,6.06824447723,10.1517381708
2018-08-22 07:56:12,56.3599,-36.959,76.0,5.876,34.778,-0.00366104016532,0.1258,2.168928,-0.0148914079109,2.5,0.08,10.144348938,0.000571378668849,0.0460344827586,27.3962229054,5.83937520799,10.0448219167
2018-08-22 07:56:12,56.3599,-36.959,78.0,5.761,34.77,-0.00366104018371,0.12395,2.168928,-0.0170187518981,2.5,0.08,10.1255806717,0.000573318564015,0.0452370689655,27.4043304591,5.90809017453,10.0769221058
2018-08-22 07:56:12,56.3599,-36.959,80.0,5.783,34.778,-0.00366104017798,0.10545,2.158296,-0.0191460958854,2.5,0.04,10.1110398607,0.000594707685525,0.0372629310345,27.4079423909,6.66573563667,10.4308561006
2018-08-22 07:56:12,56.3599,-36.959,82.0,5.903,34.802,-0.00366104015905,0.09805,2.168928,-0.0216989086701,2.5,0.06,10.1090733615,0.000575638751923,0.0340732758621,27.4118797845,5.99027587062,10.1153151447
