datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,c_su,o2_c,bbp,chla_adj,sigma,poc,cphyto
2016-07-28 08:17:53,49.4214,-30.6658,0.5,15.117,35.107,-0.00366103863059,0.89472,2.18097,102.61495226,9.5,nan,0.49,12.8689315845,0.00164929774167,0.364224137931,26.0326876419,44.0214246054,27.8815621202
2016-07-28 08:17:53,49.4214,-30.6658,2.0,15.115,35.109,-0.00366103862817,0.864,2.18097,60.7604285212,8.2,nan,0.488,12.8706509556,0.00164272324224,0.364224137931,26.0347268171,43.7885426867,27.7727713573
2016-07-28 08:17:53,49.4214,-30.6658,4.0,15.116,35.109,-0.00366103862642,0.82176,2.18097,47.8236067357,5.5,nan,0.502,12.8672826778,0.00162083244116,0.346017241379,26.0345810886,43.0131267306,27.4105358782
2016-07-28 08:17:53,49.4214,-30.6658,6.0,15.112,35.109,-0.00366103862774,0.8448,2.18097,43.7874581777,4.7,nan,0.484,12.860514571,0.00157923418003,0.355948275862,26.035539581,41.5396331251,26.7221935014
2016-07-28 08:17:53,49.4214,-30.6658,8.0,15.109,35.11,-0.00366103862929,0.90624,2.18097,40.8968817307,4.7,nan,0.491,12.8502837075,0.00162520147446,0.382431034483,26.0370476702,43.1678866284,27.4828319475
2016-07-28 08:17:53,49.4214,-30.6658,10.0,15.106,35.11,-0.00366103863089,0.89088,2.18097,32.5402166958,4.6,nan,0.485,12.8415154807,0.00157484747483,0.375810344828,26.0377850908,41.3842472534,26.6496050084
2016-07-28 08:17:53,49.4214,-30.6658,12.0,15.105,35.11,-0.00366103863275,0.89088,2.187579,23.0575911305,3.0,1.44,0.488,12.8307279737,0.00172589973993,0.375810344828,26.038073151,46.7348205878,29.1491247568
2016-07-28 08:17:53,49.4214,-30.6658,13.9,15.091,35.111,-0.00366103863681,1.02528,2.187579,20.1124433288,2.7,1.45,0.483,12.828963253,0.00173245112169,0.43374137931,26.0419970672,46.9668836326,29.2575329829
2016-07-28 08:17:53,49.4214,-30.6658,16.0,14.932,35.134,-0.00366103866267,1.13664,2.214015,19.0521389596,2.6,1.45,0.495,12.8131998754,0.00190737136965,0.48174137931,26.0947569022,53.1629086559,32.1520053954
2016-07-28 08:17:53,49.4214,-30.6658,18.0,14.851,35.152,-0.00366103867646,1.3536,2.207406,17.5203039782,3.0,1.22,0.489,12.7945021855,0.00185908377678,0.57525862069,26.1264243233,51.452465541,31.3529720812
2016-07-28 08:17:53,49.4214,-30.6658,20.0,14.825,35.16,-0.00366103868208,1.25952,2.227233,15.7369291585,2.5,1.32,0.494,12.7684763142,0.00194660480834,0.534706896552,26.1383354804,54.552635521,32.8012161486
2016-07-28 08:17:53,49.4214,-30.6658,22.0,14.768,35.168,-0.00366103869315,1.33824,2.253669,13.7045725327,2.2,0.85,0.499,12.7173940878,0.00204722973522,0.568637931034,26.1570392868,58.1169716811,34.4662953963
2016-07-28 08:17:53,49.4214,-30.6658,24.0,14.693,35.18,-0.00366103870563,1.3632,2.260278,11.5008277459,2.1,1.24,0.486,12.6690384434,0.00198582697661,0.579396551724,26.1827071726,55.9419631657,33.4502404059
2016-07-28 08:17:53,49.4214,-30.6658,26.0,14.636,35.188,-0.00366103871529,1.4592,2.280105,9.49916750724,2.1,1.47,0.488,12.6157460145,0.002152126517,0.620775862069,26.2013439147,61.8326254851,36.2020626648
2016-07-28 08:17:53,49.4214,-30.6658,28.0,14.557,35.201,-0.00366103872769,1.83168,2.299932,7.84582599378,1.7,0.94,0.47,12.5603698602,0.00171198852547,0.781327586207,26.2285588709,46.2420575492,28.9189305572
2016-07-28 08:17:53,49.4214,-30.6658,30.0,14.512,35.202,-0.00366103873689,1.49184,2.319759,6.5804527055,1.8,0.59,0.481,12.4879308126,0.00259198912413,0.634844827586,26.2391406841,77.4134387551,43.4806378812
2016-07-28 08:17:53,49.4214,-30.6658,32.0,14.403,35.207,-0.00366103875793,1.7088,2.306541,5.58239378776,1.6,0.71,0.468,12.3769645807,0.00190665137238,0.728362068966,26.2664915789,53.1374049124,32.1400913244
2016-07-28 08:17:53,49.4214,-30.6658,34.0,14.225,35.228,-0.00366103878391,1.6896,2.346195,4.71820522464,1.6,0.5,0.469,12.2533466224,0.00178600739048,0.720086206897,26.3207857073,48.8639537856,30.1437490976
2016-07-28 08:17:53,49.4214,-30.6658,36.0,14.06,35.247,-0.0036610388096,2.016,2.359413,3.93757904848,1.4,0.35,0.455,12.0978597855,0.00173105469833,0.860775862069,26.3705052111,46.9174195244,29.2344258301
2016-07-28 08:17:53,49.4214,-30.6658,38.0,13.834,35.301,-0.00366103884617,1.81056,2.346195,3.29593929145,1.3,0.3,0.444,11.940145062,0.00166062039774,0.772224137931,26.4598068992,44.4224957288,28.0689224517
2016-07-28 08:17:53,49.4214,-30.6658,40.0,13.64,35.352,-0.00366103887494,1.62048,2.332977,2.78262748583,1.6,0.26,0.444,11.8190464105,0.00169530477587,0.690293103448,26.5397185991,45.6510857707,28.6428581555
2016-07-28 08:17:53,49.4214,-30.6658,42.0,13.503,35.381,-0.00366103889431,1.55328,2.352804,2.35842047038,1.7,0.26,0.44,11.7243312232,0.00159437625863,0.661327586207,26.5905540296,42.0759958333,26.9727552819
2016-07-28 08:17:53,49.4214,-30.6658,44.0,13.432,35.398,-0.00366103890501,1.58208,2.366022,2.02886064834,1.8,0.22,0.436,11.6418823923,0.00172122552809,0.67374137931,26.61839413,46.569250656,29.0717787813
2016-07-28 08:17:53,49.4214,-30.6658,46.0,13.389,35.408,-0.00366103891173,1.41888,2.31315,1.77518911649,1.8,0.23,0.427,11.5683112198,0.00146939613087,0.603396551724,26.635032688,37.6489497475,24.9046611867
2016-07-28 08:17:53,49.4214,-30.6658,48.0,13.359,35.412,-0.00366103891697,1.37856,2.346195,1.55562468136,1.8,0.17,0.417,11.480207929,0.00195097094176,0.586017241379,26.6443487207,54.707292699,32.8734642324
2016-07-28 08:17:53,49.4214,-30.6658,50.0,13.238,35.442,-0.00366103893441,1.21536,2.31315,1.36249324619,1.7,0.11,0.41,11.3690452369,0.00130713851436,0.515672413793,26.6923616742,31.9014604557,22.2197221921
2016-07-28 08:17:53,49.4214,-30.6658,52.0,13.158,35.459,-0.00366103894946,1.23456,2.319759,1.16083503683,1.6,0.07,0.402,11.2669996201,0.00136830017578,0.523948275862,26.721854954,34.0679288266,23.2317876548
