datetime,lat,lon,p,t,s,fdom,par,ed380,ed412,ed490,fl,chla,bbp,sigma,poc,cphyto
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,0.0,nan,nan,1.8354,nan,nan,nan,nan,1.5622,5.2195,nan,nan,nan,nan
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,0.2,nan,nan,1.6606,nan,nan,nan,nan,1.9272,5.2195,nan,nan,nan,nan
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,0.4,nan,nan,1.9228,446.509442718,19.7722134817,33.4752698974,38.5673328737,1.8834,5.2195,nan,nan,nan,nan
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,1.0,8.887,33.906,2.185,373.227135238,16.2074668708,28.1531917472,34.1853048664,1.8104,5.2195,0.00801550971543,26.2815679893,269.52538514,133.225712641
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,1.4,8.886,33.915,2.0102,373.227135238,16.2074668708,28.1531917472,34.1853048664,1.7885,5.2195,0.007415360228,26.2887787264,248.266889996,123.294808958
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,1.7,8.884,33.918,1.9228,294.718258361,12.5336340424,22.0570168383,27.7432384856,1.9053,5.2195,0.00729310319455,26.2914467365,243.936301357,121.271774948
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,2.0,8.886,33.918,1.6606,294.718258361,12.5336340424,22.0570168383,27.7432384856,1.9783,5.2195,0.00724865137052,26.2911380905,242.361728846,120.536213572
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,2.4,8.886,33.918,1.4858,269.223834357,10.6745287027,19.6568164474,26.9483626324,2.0148,5.2195,0.00757094372985,26.2911450197,253.777968799,125.869308818
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,2.7,8.889,33.918,2.185,269.223834357,10.6745287027,19.6568164474,26.9483626324,2.0148,5.2195,0.0082933265971,26.2906793801,279.366214723,137.822855105
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,2.9,8.875,33.919,2.0102,252.59015808,9.71667211313,18.1800448093,25.6643748847,2.19,5.2195,0.00697079853507,26.2936622787,232.519625709,115.938476167
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,3.3,8.886,33.917,2.3598,252.59015808,9.71667211313,18.1800448093,25.6643748847,2.3798,5.2195,0.00724865334149,26.2903776199,242.361798662,120.536246186
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,3.6,8.888,33.918,2.185,225.8994054,8.55772673302,16.108438403,23.1167657988,2.4236,5.2195,0.00739312954993,26.2908519326,247.479434918,122.926949404
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,3.9,8.889,33.918,1.6606,225.8994054,8.55772673302,16.108438403,23.1167657988,2.5039,5.2195,0.00775987717476,26.2907001783,260.470369285,128.995662974
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,4.1,8.89,33.918,2.2724,182.028056356,6.34830804524,12.3710901793,19.1329447906,2.6499,5.2195,0.00732645066602,26.2905466814,245.117535492,121.823588345
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,4.4,8.888,33.918,1.748,182.028056356,6.34830804524,12.3710901793,19.1329447906,2.8251,5.2195,0.00715974542765,26.2908657973,239.212502538,119.065052846
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,4.7,8.88,33.918,2.0976,182.028056356,6.34830804524,12.3710901793,19.1329447906,2.9127,5.2195,0.00729309860463,26.2921262282,243.936138773,121.271698997
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,5.0,8.878,33.918,2.185,150.019831162,4.73714705781,9.60182595991,16.1014092171,3.0733,5.2195,0.00717084748327,26.2924451229,239.605759552,119.248762817
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,5.3,8.885,33.917,1.748,150.019831162,4.73714705781,9.60182595991,16.1014092171,3.2631,5.2195,0.00747092278694,26.2905691888,250.235026959,124.214223925
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,5.6,8.882,33.919,2.0102,150.019831162,4.73714705781,9.60182595991,16.1014092171,3.2996,5.2195,0.00722641775094,26.2926110733,241.574169574,120.168305344
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,6.0,8.89,33.917,2.0102,135.846594882,4.29742278459,8.68648068447,14.5333889514,3.3872,5.2195,0.00710418204429,26.2897966388,237.244336373,118.145624237
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,6.3,8.887,33.918,1.748,135.846594882,4.29742278459,8.68648068447,14.5333889514,3.6281,5.2195,0.00742646899176,26.2910556681,248.660384626,123.478629931
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,6.7,8.888,33.918,2.185,110.611456814,3.07537193446,6.50880711495,11.9339959259,3.6938,5.2195,0.00729310778324,26.290905665,243.936463898,121.271850879
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,7.1,8.888,33.916,1.5732,110.611456814,3.07537193446,6.50880711495,11.9339959259,3.9493,5.2195,0.00799326409197,26.2893466221,268.737400666,132.85760578
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,7.4,8.881,33.917,1.6606,90.4018193625,2.33229941682,5.04052564763,9.74158541575,4.8983,5.2195,0.00733755584181,26.2912331169,245.510903028,122.007349947
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,7.9,8.859,33.918,1.5732,90.4018193625,2.33229941682,5.04052564763,9.74158541575,5.0735,5.2195,0.00811547568028,26.295473245,273.066379547,134.879887791
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,8.2,8.861,33.918,1.748,90.4018193625,2.33229941682,5.04052564763,9.74158541575,5.2706,5.2195,0.00743755267105,26.2951651434,249.052990714,123.662035822
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,8.6,8.86,33.918,2.185,70.8523787654,1.57893823763,3.56167397799,7.57364055035,5.183,5.183,0.00793766035537,26.2953287004,266.767805108,131.93750943
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,9.1,8.862,33.918,1.9228,70.8523787654,1.57893823763,3.56167397799,7.57364055035,5.256,5.256,0.00758202970531,26.2950240381,254.170656222,126.052752705
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,9.5,8.861,33.918,2.0976,55.0481528059,1.05560808733,2.47274421364,5.78536515132,5.2852,5.2852,0.00820438621566,26.2951876052,276.215768531,136.351124511
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,9.9,8.86,33.917,2.185,55.0481528059,1.05560808733,2.47274421364,5.78536515132,5.2122,5.2122,0.00794877585638,26.2945681059,267.161538385,132.121441888
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,10.4,8.86,33.917,2.185,55.0481528059,1.05560808733,2.47274421364,5.78536515132,5.2122,5.2122,0.00794877585638,26.2945778528,267.161538385,132.121441888
2016-05-04 15:35:23,43.96928966666667,-43.53672533333333,11.3,8.851,33.917,2.0102,48.0762334897,0.869488003644,2.06299098558,5.00740723676,5.4896,5.4896,0.00808212786656,26.2960051583,271.885133289,134.328068731
