datetime,lat,lon,p,t,s,fchl,fdom,par,ed380,ed412,ed490,chla_adj,bbp,sigma,poc,cphyto
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,0.0,nan,nan,4.6872,1.494,nan,nan,nan,nan,2.01215517241,nan,nan,nan,nan
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,0.3,nan,nan,4.644,1.411,nan,nan,nan,nan,1.99353448276,nan,nan,nan,nan
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,0.5,11.521,34.539,4.644,1.328,0.3982985951,0.00174363058593,0.0023981972935,0.0117601841448,1.99353448276,0.00434828147143,26.3247509644,139.624826281,72.5426807655
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,0.9,11.521,34.546,4.7952,1.577,0.3982985951,0.00174363058593,0.0023981972935,0.0117601841448,2.05870689655,0.0043886667586,26.3302028735,141.055353923,73.2109515972
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,1.2,11.522,34.545,4.8096,1.494,0.3870781578,0.00209221183818,0.00275955840598,0.0100443359016,2.0649137931,0.00473879174354,26.3292476481,153.45748114,79.0046039712
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,1.4,11.522,34.546,4.7016,1.162,0.3870781578,0.00209221183818,0.00275955840598,0.0100443359016,2.01836206897,0.00455026253842,26.33003008,146.779399636,75.8849389264
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,1.7,11.521,34.547,5.1192,1.494,0.3870781578,0.00209221183818,0.00275955840598,0.0100443359016,2.19836206897,0.00530436881429,26.3310003771,173.49135214,88.3634246196
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,1.9,11.521,34.547,4.5936,1.494,0.385148242585,0.00239679036612,0.00185966136691,0.0102919353264,1.97181034483,0.00424053625815,26.3310054006,135.808275336,70.7597794087
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,2.1,11.522,34.547,4.9104,1.162,0.385148242585,0.00239679036612,0.00185966136691,0.0102919353264,2.10836206897,0.00483305155439,26.3308250725,156.79635216,80.5643572032
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,2.4,11.521,34.547,4.9104,1.411,0.387365400995,0.00203426586378,0.00284585359702,0.011080205682,2.10836206897,0.00434826613725,26.3310179597,139.624283114,72.542427025
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,2.6,11.522,34.546,4.7952,1.66,0.387365400995,0.00203426586378,0.00284585359702,0.011080205682,2.05870689655,0.00438866771976,26.3300602239,141.055387969,73.2109675019
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,2.8,11.522,34.546,4.788,1.411,0.38740579457,0.00182403062541,0.00213580597824,0.0108255094584,2.05560344828,0.00581608861788,26.3300652482,191.617491022,96.8310484178
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,3.1,11.522,34.547,4.7016,1.411,0.38740579457,0.00182403062541,0.00213580597824,0.0108255094584,2.01836206897,0.00455026062175,26.3308501942,146.779331743,75.8849072105
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,3.3,11.522,34.546,5.1048,1.66,0.386463277836,0.00166993054974,0.0023847136699,0.0113349019056,2.19215517241,0.00473878982685,26.3300778092,153.457413247,79.0045722549
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,3.5,11.522,34.546,4.644,1.826,0.386463277836,0.00166993054974,0.0023847136699,0.0113349019056,1.99353448276,0.00472532359196,26.3300828337,152.980412274,78.7817413028
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,3.8,11.522,34.547,4.6224,1.494,0.396189152888,0.0018090008883,0.00204438701023,0.0111835035312,1.98422413793,0.00455026062175,26.3308677805,146.779331743,75.8849072105
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,4.1,11.522,34.547,4.6584,1.411,0.396189152888,0.0018090008883,0.00204438701023,0.0111835035312,1.99974137931,0.0042674696891,26.3308753178,136.762311327,71.2054572177
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,4.4,11.523,34.546,4.6008,1.494,0.396269940037,0.00206396317566,0.00256970898569,0.0111451282488,1.9749137931,0.00430787127152,26.3299200914,138.19341618,71.8739976932
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,4.6,11.522,34.547,4.5288,0.415,0.396269940037,0.00206396317566,0.00256970898569,0.0111451282488,1.94387931034,0.0042674696891,26.3308878803,136.762311327,71.2054572177
2016-07-22 15:48:04,52.271763666666665,-38.38724933333333,4.9,11.523,34.546,4.6872,1.577,0.396269940037,0.00206396317566,0.00256970898569,0.0111451282488,2.01215517241,0.00414627645287,26.3299326552,132.469404514,69.2000262688
