#WOA18 one-degreeDECEMBER nitrate Statistical mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATITUDE, LONGITUDE,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,550,600,650,700,750,800
-76.5,164.5,14.816,15.625,17.057,19.061,21.663,23.335,24.535,25.511,26.198,26.846,27.917,28.453,28.762,29.005,29.211,29.357,29.403,29.465,29.53,29.595,29.721,29.733,29.698,29.736,,,29.81,29.8,30.016,30.042,30.084,30.117,29.928,29.955,30.228,30.235,30.214,29.9,30.229,,,,
-76.5,165.5,13.488,14.196,15.716,19.953,22.76,26.685,27.837,28.51,28.904,29.08,29.322,29.436,29.465,29.471,29.474,29.478,29.484,29.49,29.498,29.506,29.564,29.663,,,,,29.303,29.32,,,,,29.654,29.497,,,30.202,29.63,30.292,29.74,,29.97,
-76.5,166.5,18.186,18.638,20.319,21.77,24.338,26.453,27.585,28.43,29.146,29.49,29.763,29.727,29.788,29.802,29.789,29.774,29.754,29.779,29.836,29.864,30.042,29.868,,,,,29.775,29.837,,,,,29.767,29.816,,,30.027,,,,,,
-76.5,167.5,15.223,15.861,17.216,18.816,20.561,22.332,22.943,24.248,25.539,26.744,27.616,28.16,28.463,28.744,29.007,29.258,29.377,29.481,29.573,29.652,29.742,29.963,,,,,29.683,29.809,30.019,30.04,,,29.877,29.916,30.135,,30.06,30.173,30.218,,,,
-76.5,168.5,15.211,15.495,16.176,16.843,18.082,20.157,22.015,23.322,24.459,25.295,25.994,26.515,26.834,27.219,27.593,29.196,29.376,29.47,28.822,29.369,30.055,30.224,30.019,30.202,30.325,30.275,30.146,30.154,30.195,30.189,30.175,30.152,30.118,30.192,30.318,30.34,30.346,30.318,30.325,30.291,30.213,,30.118
-76.5,169.5,21.158,21.23,21.495,21.763,22.095,21.646,22.131,23.001,23.919,25.093,25.961,27.044,27.456,27.962,28.433,28.83,29.123,29.369,29.519,29.64,29.761,29.784,29.852,29.965,30.158,30.258,30.329,30.307,30.317,30.377,30.428,30.326,30.243,30.309,30.353,30.386,30.404,30.403,30.477,30.362,30.516,,
-76.5,170.5,18.096,17.942,18.639,18.992,19.193,19.425,19.683,20.017,20.424,20.934,21.488,22.529,23.713,24.985,26.24,27.174,27.82,28.31,28.776,29.226,29.845,30.424,30.742,30.938,31.032,30.992,30.8,30.866,31.027,31.047,31.047,30.971,30.848,30.678,30.541,30.829,31.031,31.087,31.13,30.898,,,
-76.5,171.5,17.391,16.836,17.204,18.14,19.027,20.523,21.303,21.911,22.449,22.939,23.457,23.622,24.355,25.07,25.758,26.412,26.895,27.32,27.655,27.953,27.963,28.514,28.989,29.546,29.805,29.65,29.983,30.124,30.264,30.345,30.369,30.567,30.558,30.548,30.5,30.657,30.647,30.742,30.68,30.322,,,
-76.5,172.5,20.89,22.387,22.393,22.497,22.737,23.151,24.5,25.421,26.283,27.056,27.56,27.804,27.961,28.213,28.459,28.677,28.868,29.036,29.174,29.238,29.725,29.81,29.619,30.16,30.449,30.405,30.353,30.307,30.342,30.349,30.364,30.395,30.422,30.422,30.432,30.454,30.355,30.119,30.34,,,,
-76.5,173.5,19.755,19.789,19.808,19.864,20.025,20.701,21.613,21.956,22.52,22.9,23.409,23.918,24.475,25.034,25.587,25.999,26.342,26.619,26.943,27.263,27.572,29.042,30.135,30.04,30.971,30.714,30.547,30.509,30.298,30.645,30.713,30.53,30.524,30.523,30.709,30.726,30.78,30.688,30.527,,,,
-76.5,174.5,21.238,18.502,18.562,18.612,18.68,21.323,22.18,23.525,24.677,25.41,26.008,25.056,25.525,25.986,26.453,26.907,27.174,27.42,27.669,27.916,28.948,29.253,30.476,30.659,30.819,30.065,29.498,30.017,30.366,30.538,30.719,30.775,30.727,30.636,30.601,30.624,30.619,,,,,,
-76.5,175.5,18.166,18.872,18.991,19.161,19.505,20.641,21.283,21.843,22.553,23.407,24.175,25.111,25.572,26.462,26.704,27.42,27.749,27.915,28.014,28.079,27.822,28.855,29.907,29.876,29.974,30.225,30.307,30.365,30.442,30.576,30.724,30.822,30.878,,,,,,,,,,
-76.5,176.5,20.738,20.78,20.873,21.064,21.12,21.741,22.786,23.264,23.689,23.919,24.207,24.869,25.646,26.565,27.388,28.016,28.411,28.687,28.663,28.757,28.82,28.833,29.362,29.44,28.631,29.871,30.391,30.612,30.684,30.775,30.868,30.925,30.932,,,,,,,,,,
-76.5,177.5,16.618,15.699,16.81,18.02,19.336,20.853,22.523,23.274,23.942,24.543,25.08,25.577,26.329,27.209,28.177,28.121,27.876,27.383,27.126,26.934,27.67,27.998,29.337,29.23,28.977,29.035,29.541,30.034,30.415,30.628,30.711,30.767,30.714,,,,,,,,,,
