datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,c_su,o2_c,bbp,chla_adj,sigma,poc,cphyto
2016-04-26 14:09:12,53.6969,-43.7257,0.2,4.917,34.655,-0.00366104033584,0.98358,2.289824,489.80867725,11.8,nan,0.534,10.9702567144,0.00333792356696,1.05546551724,27.4129593069,103.835928589,55.8239011196
2016-04-26 14:09:12,53.6969,-43.7257,2.0,4.902,34.664,-0.00366104033414,1.13684,2.263744,308.322498546,8.8,nan,0.537,10.9702139918,0.00337131239512,1.05546551724,27.4218297516,105.01862766,56.3763988613
2016-04-26 14:09:12,53.6969,-43.7257,4.0,4.902,34.664,-0.00366104033361,1.30756,2.29504,223.017896706,9.3,nan,0.531,10.9666545129,0.00328398789655,1.05546551724,27.4218459618,101.925419272,54.9314069008
2016-04-26 14:09:12,53.6969,-43.7257,6.0,4.897,34.665,-0.00366104033487,1.69168,2.289824,168.042240878,5.6,nan,0.529,10.9584732516,0.00332299247746,1.05546551724,27.4232278052,103.307039537,55.5768306567
2016-04-26 14:09:12,53.6969,-43.7257,8.0,4.874,34.667,-0.00366104033833,2.21548,2.279392,123.196201832,5.1,2.36,0.528,10.9542789035,0.0034622884953,1.05546551724,27.4274606297,108.241183081,57.881815274
2016-04-26 14:09:12,53.6969,-43.7257,10.0,4.88,34.666,-0.00366104033836,2.39396,2.289824,95.1332922847,5.6,2.41,0.525,10.9490778883,0.0033303875321,1.05546551724,27.4259981166,103.568987162,55.6991994613
2016-04-26 14:09:12,53.6969,-43.7257,12.0,4.851,34.669,-0.00366104034274,2.5414,2.289824,77.7841700869,3.5,1.78,0.519,10.9389406246,0.00329501972023,1.08724137931,27.4316762659,102.31618853,55.1139547171
2016-04-26 14:09:12,53.6969,-43.7257,14.0,4.828,34.672,-0.00366104034706,2.57826,2.305472,58.2380046961,4.4,2.05,0.517,10.9254710462,0.00342502303968,1.10312931034,27.4366628004,106.921166112,57.2651694912
2016-04-26 14:09:12,53.6969,-43.7257,15.9,4.817,34.673,-0.00366104034884,2.73734,2.300256,43.6238253223,2.4,1.19,0.514,10.9173285827,0.00377243819148,1.17169827586,27.4386954165,119.227305619,63.0139812171
2016-04-26 14:09:12,53.6969,-43.7257,17.9,4.814,34.673,-0.00366104034941,2.71018,2.289824,33.9478289658,3.3,1.68,0.501,10.9123053222,0.00323547938192,1.15999137931,27.4390248839,100.207150666,54.1287179097
2016-04-26 14:09:12,53.6969,-43.7257,20.0,4.784,34.678,-0.00366104035482,2.619,2.284608,26.5816612088,3.0,1.21,0.503,10.8984534305,0.00346579328885,1.12068965517,27.4463802445,108.365329878,57.9398104367
2016-04-26 14:09:12,53.6969,-43.7257,22.0,4.788,34.677,-0.0036610403538,2.6966,2.326336,21.5786162544,3.4,1.65,0.501,10.8922414327,0.00340263317607,1.15413793103,27.4451621637,106.128072363,56.8946758331
2016-04-26 14:09:12,53.6969,-43.7257,24.0,4.76,34.679,-0.00366104035886,2.56274,2.305472,17.6802898968,2.9,1.53,0.492,10.8719424663,0.00335797995059,1.09643965517,27.449943014,104.54636581,56.1557817897
2016-04-26 14:09:12,53.6969,-43.7257,26.0,4.739,34.682,-0.00366104036256,2.5026,2.289824,14.7705916628,2.3,1.16,0.488,10.8587174849,0.00321486575597,1.07051724138,27.4547197174,99.4769748081,53.7876163373
2016-04-26 14:09:12,53.6969,-43.7257,28.0,4.719,34.685,-0.00366104036674,2.5705,2.279392,12.0005325035,1.7,0.72,0.478,10.8373752859,0.00333186906003,1.09978448276,27.4593790238,103.621465845,55.723714872
2016-04-26 14:09:12,53.6969,-43.7257,29.9,4.683,34.69,-0.0036610403729,2.47932,2.315904,10.3653506761,1.6,0.78,0.467,10.8188141637,0.00289887584146,1.06048275862,27.4674135034,88.2839800562,48.5588100621
